delivery_id,pharmacy_id,courier_id,zone,order_created_at,promised_time,delivered_time,distance_miles,traffic_level,priority,weather_flag,status
D00083,P003,C006,33109,2026-03-14 09:38:00.531828,2026-03-14 10:15:00.531828,2026-03-14 10:22:35.284938,4.41,medium,normal,0,delivered
D00084,P003,C024,33109,2026-03-14 07:38:00.531828,2026-03-14 08:11:00.531828,2026-03-14 08:16:26.619455,5.02,low,normal,1,delivered
D00085,P008,C033,33101,2026-03-14 11:02:00.531828,2026-03-14 11:47:00.531828,2026-03-14 11:49:00.418088,0.78,low,normal,1,delivered
D00086,P006,C032,33139,2026-03-14 07:28:00.531828,2026-03-14 08:08:00.531828,2026-03-14 08:05:07.402610,2.77,high,normal,1,delivered
D00087,P010,C018,33109,2026-03-14 11:16:00.531828,2026-03-14 11:48:00.531828,2026-03-14 11:43:00.531828,4.33,high,urgent,1,delivered
D00088,P007,C034,33139,2026-03-14 07:44:00.531828,2026-03-14 08:27:00.531828,2026-03-14 08:25:25.573499,5.22,low,urgent,1,delivered
D00089,P006,C034,33139,2026-03-14 11:06:00.531828,2026-03-14 11:46:00.531828,2026-03-14 11:45:45.039117,2.41,low,urgent,0,delivered
D00090,P000,C000,33109,2026-03-14 10:34:00.531828,2026-03-14 11:10:00.531828,2026-03-14 11:17:08.159045,5.18,medium,normal,1,delivered
D00091,P005,C028,33101,2026-03-14 12:02:00.531828,2026-03-14 12:32:00.531828,2026-03-14 12:27:00.531828,1.12,low,urgent,1,delivered
D00092,P005,C039,33101,2026-03-14 10:33:00.531828,2026-03-14 11:16:00.531828,2026-03-14 11:11:00.531828,2.93,medium,urgent,1,delivered
D00093,P002,C025,33137,2026-03-14 10:35:00.531828,2026-03-14 11:12:00.531828,2026-03-14 11:08:15.305655,2.71,medium,urgent,0,delivered
D00094,P010,C020,33109,2026-03-14 11:33:00.531828,2026-03-14 12:05:00.531828,2026-03-14 12:00:00.531828,5.41,low,urgent,0,delivered
D00095,P005,C011,33101,2026-03-14 08:50:00.531828,2026-03-14 09:22:00.531828,2026-03-14 09:23:21.911033,1.49,medium,normal,1,delivered
D00096,P007,C012,33139,2026-03-14 11:54:00.531828,2026-03-14 12:30:00.531828,2026-03-14 12:34:22.117062,3.69,low,urgent,1,delivered
D00097,P005,C029,33101,2026-03-14 09:07:00.531828,2026-03-14 09:33:00.531828,2026-03-14 09:28:00.531828,3.94,medium,normal,1,delivered
D00098,P001,C028,33109,2026-03-14 06:24:00.531828,2026-03-14 06:59:00.531828,2026-03-14 07:08:47.221158,0.92,medium,normal,0,delivered
D00099,P010,C021,33109,2026-03-14 09:26:00.531828,2026-03-14 09:55:00.531828,2026-03-14 09:50:00.531828,2.81,low,normal,0,delivered
D00100,P006,C040,33139,2026-03-14 06:56:00.531828,2026-03-14 07:36:00.531828,2026-03-14 07:31:00.531828,5.52,medium,urgent,0,delivered
D00101,P003,C012,33109,2026-03-14 10:35:00.531828,2026-03-14 11:08:00.531828,2026-03-14 11:03:00.531828,4.48,medium,normal,1,delivered
D00102,P005,C000,33101,2026-03-14 08:39:00.531828,2026-03-14 09:24:00.531828,2026-03-14 09:19:00.531828,5.37,low,normal,0,delivered
D00103,P002,C042,33137,2026-03-14 08:13:00.531828,2026-03-14 08:45:00.531828,2026-03-14 08:40:00.531828,2.3,medium,urgent,1,delivered
D00104,P009,C001,33139,2026-03-14 06:18:00.531828,2026-03-14 07:03:00.531828,2026-03-14 06:58:00.531828,3.87,low,normal,1,delivered
D00105,P007,C032,33139,2026-03-14 10:31:00.531828,2026-03-14 11:11:00.531828,2026-03-14 11:06:46.266555,1.93,medium,normal,1,delivered
D00106,P003,C013,33109,2026-03-14 11:44:00.531828,2026-03-14 12:09:00.531828,2026-03-14 12:08:54.432396,5.93,high,urgent,1,delivered
D00107,P004,C045,33101,2026-03-14 09:57:00.531828,2026-03-14 10:40:00.531828,2026-03-14 10:42:58.350492,1.15,high,urgent,0,delivered
D00108,P009,C039,33139,2026-03-14 09:46:00.531828,2026-03-14 10:24:00.531828,2026-03-14 10:36:56.345795,3.29,medium,normal,1,delivered
D00109,P011,C037,33139,2026-03-14 07:09:00.531828,2026-03-14 07:48:00.531828,2026-03-14 07:48:09.225946,2.24,high,urgent,1,delivered
D00110,P001,C048,33109,2026-03-14 10:20:00.531828,2026-03-14 11:03:00.531828,2026-03-14 10:58:39.666870,5.54,high,urgent,1,delivered
D00111,P003,C044,33109,2026-03-14 07:12:00.531828,2026-03-14 07:41:00.531828,2026-03-14 07:45:38.011011,5.88,high,normal,0,delivered
D00112,P010,C048,33109,2026-03-14 07:58:00.531828,2026-03-14 08:34:00.531828,2026-03-14 08:42:59.415660,1.56,medium,normal,0,delivered
D00113,P003,C028,33109,2026-03-14 09:46:00.531828,2026-03-14 10:23:00.531828,2026-03-14 10:18:00.531828,2.08,low,normal,1,delivered
D00114,P000,C035,33109,2026-03-14 06:34:00.531828,2026-03-14 07:06:00.531828,2026-03-14 07:14:55.881657,1.77,low,normal,1,delivered
D00115,P005,C016,33101,2026-03-14 11:32:00.531828,2026-03-14 12:17:00.531828,2026-03-14 12:19:43.609239,5.45,medium,normal,0,delivered
D00116,P000,C018,33109,2026-03-14 06:42:00.531828,2026-03-14 07:17:00.531828,2026-03-14 07:12:00.531828,2.7,low,normal,0,delivered
D00117,P004,C022,33101,2026-03-14 06:40:00.531828,2026-03-14 07:22:00.531828,2026-03-14 07:17:00.531828,5.5,low,urgent,0,delivered
D00118,P004,C005,33101,2026-03-14 06:46:00.531828,2026-03-14 07:11:00.531828,2026-03-14 07:13:47.541009,2.05,medium,normal,0,delivered
D00119,P006,C003,33139,2026-03-14 12:04:00.531828,2026-03-14 12:42:00.531828,2026-03-14 12:37:00.531828,2.17,low,urgent,0,delivered
D00120,P008,C031,33101,2026-03-14 08:52:00.531828,2026-03-14 09:24:00.531828,2026-03-14 09:34:44.481469,1.81,low,urgent,1,delivered
D00121,P004,C021,33101,2026-03-14 09:06:00.531828,2026-03-14 09:40:00.531828,2026-03-14 09:35:00.531828,2.95,medium,normal,0,delivered
D00122,P001,C024,33109,2026-03-14 07:53:00.531828,2026-03-14 08:36:00.531828,2026-03-14 08:34:02.378743,1.97,low,normal,1,delivered
D00123,P006,C031,33139,2026-03-14 12:03:00.531828,2026-03-14 12:46:00.531828,2026-03-14 12:41:21.783181,5.61,low,normal,1,delivered
D00124,P005,C042,33101,2026-03-14 10:13:00.531828,2026-03-14 10:47:00.531828,2026-03-14 10:42:56.786359,2.62,high,normal,0,delivered
D00125,P003,C047,33109,2026-03-14 11:29:00.531828,2026-03-14 11:58:00.531828,2026-03-14 11:53:00.531828,5.53,low,urgent,0,delivered
D00126,P011,C029,33139,2026-03-14 08:19:00.531828,2026-03-14 09:02:00.531828,2026-03-14 09:00:21.001998,5.99,high,normal,0,delivered
D00127,P003,C036,33109,2026-03-14 10:11:00.531828,2026-03-14 10:56:00.531828,2026-03-14 10:53:49.730143,1.7,high,urgent,1,delivered
D00128,P008,C023,33101,2026-03-14 06:25:00.531828,2026-03-14 07:10:00.531828,2026-03-14 07:05:00.531828,1.04,medium,urgent,1,delivered
D00129,P007,C044,33139,2026-03-14 11:42:00.531828,2026-03-14 12:09:00.531828,2026-03-14 12:14:25.519241,5.52,low,normal,1,delivered
D00130,P002,C006,33137,2026-03-14 07:17:00.531828,2026-03-14 07:50:00.531828,2026-03-14 08:02:38.177318,4.83,medium,urgent,0,delivered
D00131,P008,C043,33101,2026-03-14 07:31:00.531828,2026-03-14 08:00:00.531828,2026-03-14 08:08:46.605561,2.93,medium,normal,1,delivered
D00132,P005,C035,33101,2026-03-14 10:38:00.531828,2026-03-14 11:21:00.531828,2026-03-14 11:16:00.531828,0.78,low,urgent,0,delivered
D00133,P011,C019,33139,2026-03-14 08:08:00.531828,2026-03-14 08:42:00.531828,2026-03-14 08:37:00.531828,2.74,high,normal,1,delivered
D00134,P006,C012,33139,2026-03-14 09:41:00.531828,2026-03-14 10:07:00.531828,2026-03-14 10:02:00.531828,4.26,high,urgent,1,delivered
D00135,P011,C037,33139,2026-03-14 07:21:00.531828,2026-03-14 07:57:00.531828,2026-03-14 07:56:59.388448,2.62,high,normal,1,delivered
D00136,P010,C048,33109,2026-03-14 10:09:00.531828,2026-03-14 10:47:00.531828,2026-03-14 10:42:00.531828,1.51,low,normal,1,delivered
D00137,P002,C001,33137,2026-03-14 09:03:00.531828,2026-03-14 09:41:00.531828,2026-03-14 09:36:00.531828,4.17,medium,urgent,0,delivered
D00138,P000,C048,33109,2026-03-14 07:39:00.531828,2026-03-14 08:07:00.531828,2026-03-14 08:37:46.648050,3.59,medium,urgent,0,delivered
D00139,P002,C025,33137,2026-03-14 06:37:00.531828,2026-03-14 07:20:00.531828,2026-03-14 07:33:36.601368,1.34,high,normal,0,delivered
D00140,P010,C005,33109,2026-03-14 08:32:00.531828,2026-03-14 09:00:00.531828,2026-03-14 09:02:26.422857,5.95,high,urgent,0,delivered
D00141,P006,C011,33139,2026-03-14 12:10:00.531828,2026-03-14 12:37:00.531828,2026-03-14 12:42:52.468289,3.97,medium,urgent,1,delivered
D00142,P009,C047,33139,2026-03-14 08:57:00.531828,2026-03-14 09:36:00.531828,2026-03-14 09:52:49.889235,1.98,low,normal,0,delivered
D00143,P004,C041,33101,2026-03-14 11:57:00.531828,2026-03-14 12:23:00.531828,2026-03-14 12:18:00.531828,3.61,low,urgent,1,delivered
D00144,P006,C043,33139,2026-03-14 11:36:00.531828,2026-03-14 12:21:00.531828,2026-03-14 12:20:23.304115,0.92,high,urgent,0,delivered
D00145,P009,C020,33139,2026-03-14 09:27:00.531828,2026-03-14 09:56:00.531828,2026-03-14 09:51:00.531828,3.15,low,urgent,1,delivered
D00146,P006,C005,33139,2026-03-14 11:12:00.531828,2026-03-14 11:48:00.531828,2026-03-14 11:54:19.562647,4.51,low,urgent,1,delivered
D00147,P010,C011,33109,2026-03-14 10:59:00.531828,2026-03-14 11:24:00.531828,2026-03-14 11:26:44.281497,1.35,medium,normal,1,delivered
D00148,P009,C033,33139,2026-03-14 10:39:00.531828,2026-03-14 11:18:00.531828,2026-03-14 11:13:00.531828,1.21,low,normal,0,delivered
D00149,P009,C013,33139,2026-03-14 11:38:00.531828,2026-03-14 12:03:00.531828,2026-03-14 12:03:37.930638,2.91,low,normal,1,delivered
D00150,P000,C006,33109,2026-03-14 11:55:00.531828,2026-03-14 12:23:00.531828,2026-03-14 12:29:46.856941,4.92,low,urgent,1,delivered
D00151,P010,C010,33109,2026-03-14 07:18:00.531828,2026-03-14 08:01:00.531828,2026-03-14 07:56:00.531828,0.52,medium,normal,0,delivered
D00152,P011,C010,33139,2026-03-14 11:20:00.531828,2026-03-14 12:02:00.531828,2026-03-14 11:59:15.650445,3.27,medium,normal,1,delivered
D00153,P005,C024,33101,2026-03-14 09:15:00.531828,2026-03-14 09:42:00.531828,2026-03-14 09:37:00.531828,4.74,low,urgent,0,delivered
D00154,P002,C021,33137,2026-03-14 09:32:00.531828,2026-03-14 10:03:00.531828,2026-03-14 09:58:00.531828,1.49,medium,normal,0,delivered
D00155,P003,C006,33109,2026-03-14 10:17:00.531828,2026-03-14 10:58:00.531828,2026-03-14 10:53:00.531828,1.6,high,urgent,1,delivered
D00156,P001,C026,33109,2026-03-14 07:40:00.531828,2026-03-14 08:16:00.531828,2026-03-14 08:17:41.360130,2.25,medium,urgent,1,delivered
D00157,P008,C047,33101,2026-03-14 07:59:00.531828,2026-03-14 08:34:00.531828,2026-03-14 08:29:00.531828,3.43,low,urgent,1,delivered
D00158,P008,C031,33101,2026-03-14 11:54:00.531828,2026-03-14 12:30:00.531828,2026-03-14 12:29:22.387704,5.33,high,normal,1,delivered
D00159,P010,C037,33109,2026-03-14 10:50:00.531828,2026-03-14 11:17:00.531828,2026-03-14 11:12:00.531828,3.15,high,normal,1,delivered
D00160,P002,C045,33137,2026-03-14 10:28:00.531828,2026-03-14 10:56:00.531828,2026-03-14 11:02:43.370251,3.09,low,normal,0,delivered
D00161,P009,C004,33139,2026-03-14 06:31:00.531828,2026-03-14 07:12:00.531828,2026-03-14 07:23:47.809625,1.9,low,urgent,1,delivered
D00162,P009,C020,33139,2026-03-14 10:38:00.531828,2026-03-14 11:21:00.531828,2026-03-14 11:16:00.531828,5.38,low,urgent,1,delivered
D00163,P004,C017,33101,2026-03-14 11:03:00.531828,2026-03-14 11:46:00.531828,2026-03-14 11:55:36.022834,0.63,medium,urgent,1,delivered
D00164,P007,C015,33139,2026-03-14 08:48:00.531828,2026-03-14 09:24:00.531828,2026-03-14 09:19:00.531828,2.26,medium,urgent,1,delivered
D00165,P009,C037,33139,2026-03-14 08:07:00.531828,2026-03-14 08:36:00.531828,2026-03-14 08:38:38.340637,1.79,high,urgent,1,delivered
D00166,P007,C039,33139,2026-03-14 06:24:00.531828,2026-03-14 06:49:00.531828,2026-03-14 06:44:00.531828,3.08,low,normal,0,delivered
D00167,P011,C013,33139,2026-03-14 07:04:00.531828,2026-03-14 07:32:00.531828,2026-03-14 07:35:42.376310,4.39,high,normal,1,delivered
D00168,P005,C020,33101,2026-03-14 11:57:00.531828,2026-03-14 12:29:00.531828,2026-03-14 12:24:00.531828,1.99,medium,urgent,1,delivered
D00169,P009,C005,33139,2026-03-14 06:32:00.531828,2026-03-14 07:16:00.531828,2026-03-14 07:21:15.092086,1.16,high,normal,1,delivered
D00170,P011,C031,33139,2026-03-14 10:29:00.531828,2026-03-14 11:08:00.531828,2026-03-14 11:09:21.669355,4.39,low,urgent,1,delivered
D00171,P001,C001,33109,2026-03-14 10:50:00.531828,2026-03-14 11:33:00.531828,2026-03-14 11:37:59.961129,5.84,high,urgent,0,delivered
D00172,P011,C036,33139,2026-03-14 07:34:00.531828,2026-03-14 08:18:00.531828,2026-03-14 08:19:59.714978,4.49,low,normal,0,delivered
D00173,P006,C001,33139,2026-03-14 07:13:00.531828,2026-03-14 07:46:00.531828,2026-03-14 07:44:03.516295,4.29,medium,urgent,0,delivered
D00174,P008,C014,33101,2026-03-14 12:09:00.531828,2026-03-14 12:50:00.531828,2026-03-14 12:57:06.395884,4.5,high,urgent,0,delivered
D00175,P005,C047,33101,2026-03-14 07:07:00.531828,2026-03-14 07:47:00.531828,2026-03-14 08:14:34.515514,0.67,high,urgent,0,delivered
D00176,P001,C014,33109,2026-03-14 11:22:00.531828,2026-03-14 12:01:00.531828,2026-03-14 11:59:23.358938,3.58,high,normal,0,delivered
D00177,P011,C049,33139,2026-03-14 06:20:00.531828,2026-03-14 06:50:00.531828,2026-03-14 06:54:23.579448,4.1,high,normal,0,delivered
D00178,P007,C032,33139,2026-03-14 09:02:00.531828,2026-03-14 09:43:00.531828,2026-03-14 09:38:00.531828,2.9,low,normal,1,delivered
D00179,P009,C043,33139,2026-03-14 06:29:00.531828,2026-03-14 07:09:00.531828,2026-03-14 07:11:55.940512,3.73,medium,normal,0,delivered
